Date,Symbol,Open,High,Low,Close,Adj Close,Volume
2020-06-04,MSFT,184.300003,185.839996,182.300003,182.919998,177.978134,28761800
2020-06-04,ORCL,53.23,53.689999,52.630001,52.849998,50.163109,9696000
2020-06-04,AAPL,81.097504,81.404999,80.195,80.580002,79.113586,87560400
2020-06-05,ORCL,53.09,54.27,52.740002,53.98,51.235661,12210100
2020-06-05,AAPL,80.837502,82.9375,80.807503,82.875,81.366791,137250400
2020-06-05,MSFT,182.619995,187.729996,182.009995,187.199997,182.142502,39893600
2020-06-08,AAPL,82.5625,83.400002,81.830002,83.364998,81.847893,95654400
2020-06-08,MSFT,185.940002,188.550003,184.440002,188.360001,183.271164,33211600
2020-06-08,ORCL,53.349998,55.119999,53.279999,55.099998,52.29871,11519500
2020-06-09,AAPL,83.035004,86.402496,83.002502,85.997498,84.432495,147712400
2020-06-09,MSFT,188.0,190.699997,187.259995,189.800003,184.672241,29783900
2020-06-09,ORCL,55.0,55.060001,53.880001,54.18,51.425488,8852500
2020-06-10,AAPL,86.974998,88.692497,86.522499,88.209999,86.604729,166651600
2020-06-10,MSFT,191.130005,198.520004,191.009995,196.839996,191.522064,43872300
2020-06-10,ORCL,54.5,54.66,53.900002,54.110001,51.359051,7436700
2020-06-11,MSFT,193.130005,195.759995,186.070007,186.270004,181.23761,52854700
2020-06-11,ORCL,53.25,53.560001,51.23,51.310001,48.701405,12805700
2020-06-11,AAPL,87.327499,87.764999,83.870003,83.974998,82.446793,201662400
2020-06-12,ORCL,52.450001,53.0,50.98,51.860001,49.223434,11537200
2020-06-12,AAPL,86.18,86.949997,83.555,84.699997,83.158607,200146000
2020-06-12,MSFT,190.539993,191.720001,185.179993,187.740005,182.667953,43373600
2020-06-15,ORCL,50.959999,53.43,50.91,53.25,50.542774,16038100
2020-06-15,AAPL,83.3125,86.419998,83.144997,85.747498,84.187042,138808800
2020-06-15,MSFT,184.580002,190.820007,184.009995,188.940002,183.835526,32770200
2020-06-16,ORCL,54.459999,55.0,53.779999,54.59,51.81464,19380200
2020-06-16,AAPL,87.864998,88.300003,86.18,88.019997,86.418205,165428800
2020-06-16,MSFT,192.889999,195.580002,191.460007,193.570007,188.340439,42556700
2020-06-17,AAPL,88.787498,88.849998,87.772499,87.897499,86.297928,114406400
2020-06-17,MSFT,195.029999,196.320007,193.690002,194.240005,188.99234,25687800
2020-06-17,ORCL,53.029999,53.740002,51.5,51.52,48.900719,28692600
2020-06-18,MSFT,194.0,196.490005,194.0,196.320007,191.016144,23061600
2020-06-18,ORCL,51.599998,54.0,51.32,53.689999,50.960392,19259500
2020-06-18,AAPL,87.852501,88.362503,87.305,87.932503,86.332268,96820400
2020-06-19,MSFT,198.589996,199.289993,194.369995,195.149994,189.877716,44441100
2020-06-19,ORCL,54.209999,54.459999,52.98,54.400002,51.6343,33051200
2020-06-19,AAPL,88.660004,89.139999,86.287498,87.43,85.838936,264476000
2020-06-22,MSFT,195.789993,200.759995,195.229996,200.570007,195.151306,32818900
2020-06-22,ORCL,54.09,55.389999,53.880001,55.119999,52.317696,16705900
2020-06-22,AAPL,87.834999,89.864998,87.787498,89.717499,88.084801,135445200
2020-06-23,MSFT,202.089996,203.949997,201.429993,201.910004,196.455109,30917400
2020-06-23,AAPL,91.0,93.095001,90.567497,91.6325,89.964935,212155600
2020-06-23,ORCL,55.299999,55.970001,55.130001,55.189999,52.384144,18695000
2020-06-24,AAPL,91.25,92.197502,89.629997,90.014999,88.376884,192623200
2020-06-24,MSFT,201.600006,203.25,196.559998,197.839996,192.495056,36740600
2020-06-24,ORCL,55.119999,55.68,54.330002,54.439999,51.672264,18287400
2020-06-25,AAPL,90.175003,91.25,89.392502,91.209999,89.550148,137522400
2020-06-25,MSFT,197.800003,200.610001,195.470001,200.339996,194.927521,27803900
2020-06-25,ORCL,54.400002,54.59,53.540001,54.529999,51.757687,16008700
2020-06-26,AAPL,91.102501,91.330002,88.254997,88.407501,86.798622,205256800
2020-06-26,MSFT,199.729996,199.889999,194.880005,196.330002,191.025864,54675800
2020-06-26,ORCL,54.349998,54.59,53.630001,54.18,51.425488,17969400
2020-06-29,ORCL,54.23,54.959999,53.849998,54.759998,51.976002,14366900
2020-06-29,AAPL,88.3125,90.542503,87.82,90.445,88.799049,130646000
2020-06-29,MSFT,195.779999,198.529999,193.550003,198.440002,193.078827,26701600
2020-06-30,ORCL,54.799999,55.439999,54.5,55.27,52.460075,18885900
2020-06-30,AAPL,90.019997,91.495003,90.0,91.199997,89.540321,140223200
2020-06-30,MSFT,197.880005,204.399994,197.740005,203.509995,198.011856,34310300
2020-07-01,ORCL,54.689999,55.880001,54.68,55.490002,52.668888,17856800
2020-07-01,MSFT,203.139999,206.350006,201.770004,204.699997,199.169724,32061200
2020-07-01,AAPL,91.279999,91.839996,90.977501,91.027496,89.370956,110737200
2020-07-02,MSFT,205.679993,208.020004,205.0,206.259995,200.687576,29315800
2020-07-02,ORCL,55.790001,56.43,55.650002,55.939999,53.096008,15478900
2020-07-02,AAPL,91.962502,92.6175,90.910004,91.027496,89.370956,114041600
2020-07-06,MSFT,208.830002,211.130005,208.089996,210.699997,205.007614,31897600
2020-07-06,AAPL,92.5,93.945,92.467499,93.462502,91.761635,118655600
2020-07-06,ORCL,56.200001,56.830002,56.16,56.599998,53.722458,15309700
2020-07-07,AAPL,93.852501,94.654999,93.057503,93.172501,91.476929,112424400
2020-07-07,ORCL,56.349998,56.950001,56.220001,56.310001,53.447201,13232100
2020-07-07,MSFT,210.449997,214.669998,207.990005,208.25,202.623825,33600700
2020-07-08,AAPL,94.18,95.375,94.089996,95.342499,93.607437,117092000
2020-07-08,MSFT,210.070007,213.259995,208.690002,212.830002,207.080063,33600000
2020-07-08,ORCL,56.630001,56.68,55.990002,56.66,53.779408,12582200
2020-07-09,AAPL,96.262497,96.317497,94.672501,95.752502,94.009964,125642800
2020-07-09,MSFT,216.330002,216.380005,211.470001,214.320007,208.529831,33121700
2020-07-09,ORCL,56.990002,57.799999,56.82,57.529999,54.605171,15692600
2020-07-10,ORCL,57.470001,57.52,56.689999,57.389999,54.472286,12615800
2020-07-10,AAPL,95.334999,95.980003,94.705002,95.919998,94.174408,90257200
2020-07-10,MSFT,213.619995,214.080002,211.080002,213.669998,207.8974,26177600
2020-07-13,AAPL,97.264999,99.955002,95.2575,95.477501,93.739967,191649200
2020-07-13,ORCL,57.400002,57.84,56.970001,57.009998,54.111603,15965600
2020-07-13,MSFT,214.479996,215.800003,206.5,207.070007,201.475677,38135600
2020-07-14,ORCL,56.669998,57.290001,56.48,57.200001,54.521477,15510300
2020-07-14,MSFT,206.130005,208.850006,202.029999,208.350006,202.721115,37591800
2020-07-14,AAPL,94.839996,97.254997,93.877502,97.057503,95.291222,170989200
2020-07-15,MSFT,209.559998,211.330002,205.029999,208.039993,202.419434,32179400
2020-07-15,ORCL,57.419998,57.84,56.380001,56.619999,53.968636,10570800
2020-07-15,AAPL,98.989998,99.247498,96.489998,97.724998,95.946579,153198000
2020-07-16,ORCL,56.419998,56.490002,55.580002,55.82,53.2061,8779300
2020-07-16,AAPL,96.5625,97.404999,95.904999,96.522499,94.765961,110577600
2020-07-16,MSFT,205.399994,205.699997,202.309998,203.919998,198.410797,29940700
2020-07-17,ORCL,56.080002,56.119999,54.759998,54.900002,52.329178,14344800
2020-07-17,AAPL,96.987503,97.147499,95.839996,96.327499,94.574509,92186800
2020-07-17,MSFT,204.470001,205.039993,201.389999,202.880005,197.398911,31635300
2020-07-20,ORCL,54.880001,55.52,54.689999,55.400002,52.805763,11469300
2020-07-20,AAPL,96.417503,98.5,96.0625,98.357498,96.567551,90318000
2020-07-20,MSFT,205.0,212.300003,203.009995,211.600006,205.883286,36884800
2020-07-21,AAPL,99.172501,99.25,96.7425,97.0,95.234772,103433200
2020-07-21,MSFT,213.660004,213.940002,208.029999,208.75,203.110291,37990400
2020-07-21,ORCL,55.799999,56.34,55.580002,55.91,53.291889,11875100
2020-07-22,ORCL,55.700001,56.18,55.700001,56.009998,53.387196,13842400
2020-07-22,MSFT,209.199997,212.300003,208.389999,211.75,206.029236,49605700
2020-07-22,AAPL,96.692497,97.974998,96.602501,97.272499,95.502312,89001600
2020-07-23,AAPL,96.997498,97.077499,92.010002,92.845001,91.155365,197004400
2020-07-23,MSFT,207.190002,210.919998,202.149994,202.539993,197.068085,67457000
2020-07-23,ORCL,56.0,56.360001,55.599998,55.759998,53.148903,12576000
